280 施公案 8398 第二八○回 　　都天廟姊妹雙賣藝　贑榆縣強寇中機關
281 施公案 8399 第二八一回 　　毛如虎醉後被擒　黃天霸急中誘敵
282 施公案 8400 第二八二回 　　于亮敗走何路通　施公嚴訊毛如虎
283 施公案 8401 第二八三回 　　用奇刑假知縣招供　梟逆首勇副將監斬
284 施公案 8402 第二八四回 　　逃強盜還去投強盜　嫉仇人偏遇有仇人
285 施公案 8403 第二八五回 　　落馬湖施公被難　陰山洞張才設計
286 施公案 8404 第二八六回 　　褚家莊天霸送信　悅來店張才陳辭
287 施公案 8405 第二八七回 　　張才設計救施公　路通獨力擒李配
288 施公案 8406 第二八八回 　　落馬湖眾寇伏誅　淮安府施公赴任
289 施公案 8407 第二八九回 　　褚壯士一意順施公　賀人傑千里投天霸
290 施公案 8408 第二九○回 　　黃天霸仗義撫孤兒　施賢臣誠心留壯士
291 施公案 8409 第二九一回 　　賀人傑神技取風旗　餘成龍巧智盜印信
292 施公案 8410 第二九二回 　　施賢臣丟失印信　眾英雄議訪強人
293 施公案 8411 第二九三回 　　張桂蘭緩言勸人傑　褚壯士暗地訪成龍
294 施公案 8412 第二九四回 　　餘成龍激走褚標　賀人傑智誘任勇
295 施公案 8413 第二九五回 　　餘成龍誤留賀人傑　施賢臣獨遣李公然
296 施公案 8414 第二九六回 　　李公然前往摩天嶺　賀人傑初探凌虛樓
297 施公案 8415 第二九七回 　　小英雄下山送信　老壯士回署搬兵
298 施公案 8416 第二九八回 　　黃天霸大破摩天嶺　賀人傑火燒凌虛樓
299 施公案 8417 第二九九回 　　繳印信人傑立功　敬河神賢臣致祭
300 施公案 8418 第三○○回 　　風捲麻裙含冤待白　塵埋繡履抱屈難申
301 施公案 8419 第三○一回 　　張掛榜文招尋繡履　追申冤屈拘質公堂
302 施公案 8420 第三○二回 　　一官拚棄賢令開棺　雙履招來冤民出獄
303 施公案 8421 第三○三回 　　抱布貿絲賢臣私訪　叩門投宿豪士泄機
304 施公案 8422 第三○四回 　　再開棺甘為佐證　重對質立破沉冤
305 施公案 8423 第三○五回 　　淮安府鄉民告狀　八蠟廟巨寇行兇
306 施公案 8424 第三○六回 　　因驚成病弱女全身　見色貪淫貞娘慘死
307 施公案 8425 第三○七回 　　漕督府老褚標獻計　招賢鎮金大力賣拳
308 施公案 8426 第三○八回 　　張桂蘭被劫八蠟廟　老褚標追探水龍窩
309 施公案 8427 第三○九回 　　老褚標暗約黃天霸　張桂蘭巧拿費德功
310 施公案 8428 第三一○回 　　水龍窩眾寇遭擒　招賢鎮強徒示眾
311 施公案 8429 第三一一回 　　韓侯廟英雄救弱女　花神祠太歲活遭殃
312 施公案 8430 第三一二回 　　柳溪村李公然訪案　陶家廟賀人傑贈金
313 施公案 8431 第三一三回 　　賀人傑有心盜員外　李公然無意救公差
314 施公案 8432 第三一四回 　　安人好德婆子陳情　惡霸驚心英雄得意
315 施公案 8433 第三一五回 　　施賢臣因公參縣令　朱壯士仗義救書生
316 施公案 8434 第三一六回 　　報水災賢臣查賑　勘河道父老攔輿
317 施公案 8435 第三一七回 　　黃天霸怒擒水怪　何路通獨探龍窩
318 施公案 8436 第三一八回 　　假水怪抗敵盡遭擒　真妖魔待人方出現
319 施公案 8437 第三一九回 　　斗姥閣放膽獨降妖　殷家堡同心議劫餉
320 施公案 8438 第三二○回 　　失餉銀關太受傷　急搬兵計全報信
321 施公案 8439 第三二一回 　　國法難容興師問罪　天良不昧遺書通情
322 施公案 8440 第三二二回 　　賽仁貴獨擋護莊河　李公然一打殷家堡
323 施公案 8441 第三二三回 　　雙槍手巧敵關小西　一聲雷嚇退金大力
324 施公案 8442 第三二四回 　　何路通一探護莊河　黃天霸二打殷家堡
325 施公案 8443 第三二五回 　　賀人傑巧計敗賽花　郝素玉軟錘打殷勇
326 施公案 8444 第三二六回 　　發號令再渡護莊河　決夜戰三打殷家堡
327 施公案 8445 第三二七回 　　思罷戰馳信請良朋　想求和甘心許幼女
328 施公案 8446 第三二八回 　　朱光祖力主和議　施賢臣慨諾良緣
329 施公案 8447 第三二九回 　　賀人傑奉命接慈親　關小西無意逢強寇
330 施公案 8448 第三三○回 　　施賢臣聚議訪淫徒　賀人傑馳歸見老母
331 施公案 8449 第三三一回 　　思盡孝幼子承歡　因貪心老成遭騙
332 施公案 8450 第三三二回 　　圖財害命反告誣栽　托夢申冤據情互控
333 施公案 8451 第三三三回 　　刁祖謀欺心對質　李王氏上控鳴冤
334 施公案 8452 第三三四回 　　據案推詳終求定讞　嚴刑審問立破奸謀
335 施公案 8453 第三三五回 　　蔡天化二次露真名　老褚標一議捉強寇
336 施公案 8454 第三三六回 　　眾英雄大戰天齊廟　蔡天化小住藏春樓
337 施公案 8455 第三三七回 　　妓女無心窩留巨盜　狗兒畏罪首告強徒
338 施公案 8456 第三三八回 　　落妓院強盜誤遭擒　解公堂淫徒再逃脫
339 施公案 8457 第三三九回 　　老褚標兩議捉強徒　蔡天化一心訪名妓
340 施公案 8458 第三四○回 　　東安縣德彪擺擂台　萬家村光祖訪良友
341 施公案 8459 第三四一回 　　見招帖慷慨論英雄　說姻緣慇懃求壯士
342 施公案 8460 第三四二回 　　求勇士三顧萬家莊　捉盜徒同上淮安府
343 施公案 8461 第三四三回 　　邂逅相逢女郎屬意　倉皇遇害公子無辜
344 施公案 8462 第三四四回 　　月明鏡破據夢推詳　物在人亡傷心控告
345 施公案 8463 第三四五回 　　呈金釵銀匠訴冤　悟銅鏡縫工起解
346 施公案 8464 第三四六回 　　折疑獄大審金二朋　雪奇冤參處山陰縣
347 施公案 8465 第三四七回 　　推誠接物大宴群英　協力鋤強允拿草寇
348 施公案 8466 第三四八回 　　曹德彪隻手敗吳嵩　史占魁奮身敵石勇
349 施公案 8467 第三四九回 　　石勇巧打史占魁　徐寧誤敗殷家虎
350 施公案 8468 第三五○回 　　賢郎舅旅館談心　假英雄擂台獻丑
351 施公案 8469 第三五一回 　　粉金剛力敵曹德彪　沖天炮奮鬥徐文豹
